Filename,VST,CEFR,CEFR_Number
W_JPN_058.txt,36,B1_2,3
W_THA_052.txt,21,A2_0,1
W_CHN_122.txt,32,B1_1,2
W_JPN_070.txt,28,A2_0,1
W_THA_085.txt,17,A2_0,1
W_THA_091.txt,14,A2_0,1
W_KOR_217.txt,37,B1_2,3
W_THA_090.txt,15,A2_0,1
W_THA_053.txt,21,A2_0,1
W_KOR_029.txt,36,B1_1,2
W_JPN_298.txt,46,B1_2,3
W_SIN_139.txt,47,B2_0,4
W_IDN_081.txt,45,B1_1,2
W_IDN_095.txt,46,A2_0,1
W_JPN_267.txt,25,B1_1,2
W_KOR_149.txt,36,A2_0,1
W_JPN_307.txt,38,A2_0,1
W_JPN_313.txt,25,A2_0,1
W_SIN_059.txt,44,B1_2,3
W_SIN_071.txt,48,B2_0,4
W_HKG_003.txt,43,B1_2,3
W_JPN_111.txt,20,A2_0,1
W_CHN_084.txt,38,B1_2,3
W_CHN_090.txt,27,B1_1,2
W_JPN_303.txt,38,B1_1,2
W_SIN_075.txt,45,B1_2,3
W_KOR_171.txt,12,A2_0,1
W_KOR_159.txt,21,B1_1,2
W_THA_269.txt,32,B1_1,2
W_SIN_101.txt,44,B1_2,3
W_THA_255.txt,31,B1_1,2
W_JPN_288.txt,40,A2_0,1
W_JPN_075.txt,23,A2_0,1
W_THA_043.txt,31,B1_1,2
W_JPN_049.txt,33,B1_2,3
W_KOR_213.txt,41,B2_0,4
W_THA_081.txt,21,A2_0,1
W_KOR_206.txt,38,B1_1,2
W_KOR_212.txt,38,B2_0,4
W_THA_056.txt,35,B1_1,2
W_THA_042.txt,21,A2_0,1
W_CHN_132.txt,26,B1_1,2
W_JPN_289.txt,44,A2_0,1
W_KOR_004.txt,38,B2_0,4
W_SIN_100.txt,47,B2_0,4
W_SIN_114.txt,46,B1_2,3
W_THA_268.txt,42,B1_2,3
W_TWN_160.txt,33,B1_2,3
W_SIN_074.txt,44,B1_2,3
W_THA_334.txt,33,B1_1,2
W_CHN_091.txt,26,B1_1,2
W_THA_122.txt,25,B1_1,2
W_JPN_128.txt,24,B1_1,2
W_JPN_100.txt,15,A2_0,1
W_JPN_102.txt,20,A2_0,1
W_THA_108.txt,41,B1_2,3
W_JPN_116.txt,20,A2_0,1
W_THA_120.txt,39,B1_2,3
W_TWN_189.txt,38,B1_1,2
W_JPN_314.txt,20,B1_1,2
W_THA_322.txt,34,B1_1,2
W_JPN_328.txt,25,B1_1,2
W_SIN_062.txt,44,B1_2,3
W_TWN_162.txt,27,B1_2,3
W_JPN_274.txt,11,A2_0,1
W_JPN_260.txt,28,B1_1,2
W_SIN_102.txt,47,B2_0,4
W_TWN_016.txt,11,A2_0,1
W_THA_281.txt,32,B1_1,2
W_THA_054.txt,21,A2_0,1
W_THA_040.txt,45,B1_2,3
W_KOR_204.txt,37,B2_0,4
W_JPN_089.txt,28,A2_0,1
W_THA_097.txt,12,A2_0,1
W_CHN_131.txt,29,B1_1,2
W_THA_280.txt,22,A2_0,1
W_KOR_007.txt,22,A2_0,1
W_SIN_117.txt,46,B1_2,3
W_THA_243.txt,32,B1_1,2
W_JPN_261.txt,25,A2_0,1
W_TWN_163.txt,28,B1_1,2
W_TWN_177.txt,27,B1_1,2
W_SIN_088.txt,48,B2_0,4
W_THA_337.txt,22,A2_0,1
W_SIN_077.txt,48,B2_0,4
W_JPN_315.txt,28,B1_1,2
W_JPN_301.txt,38,A2_0,1
W_HKG_005.txt,30,B1_1,2
W_CHN_086.txt,26,B1_1,2
W_CHN_092.txt,23,A2_0,1
W_THA_104.txt,29,B1_1,2
W_CHN_048.txt,31,B1_1,2
W_THA_110.txt,38,B1_2,3
W_CHN_060.txt,25,B1_1,2
W_SIN_046.txt,47,B2_0,4
W_SIN_091.txt,45,B1_2,3
W_SIN_085.txt,47,B2_0,4
W_SIN_126.txt,41,B1_2,3
W_JPN_278.txt,20,A2_0,1
W_SIN_132.txt,47,B2_0,4
W_JPN_250.txt,23,B1_1,2
W_JPN_287.txt,42,A2_0,1
W_CHN_128.txt,29,B1_1,2
W_THA_064.txt,23,A2_0,1
W_CHN_100.txt,33,B1_1,2
W_JPN_046.txt,30,B1_1,2
W_KOR_234.txt,41,B2_0,4
W_THA_059.txt,35,B1_1,2
W_CHN_101.txt,35,B1_1,2
W_THA_065.txt,21,A2_0,1
W_THA_298.txt,33,B1_1,2
W_SIN_127.txt,43,B1_2,3
W_TWN_147.txt,38,B1_1,2
W_CHN_277.txt,32,B2_0,4
W_THA_313.txt,30,B1_1,2
W_JPN_319.txt,19,A2_0,1
W_CHN_061.txt,19,A2_0,1
