filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,mattr50_cw_TAALED,av_nominal_deps_TAASSC,amod_all_nominal_deps_struct_TAASSC,prep_all_nominal_deps_struct_TAASSC,mag_av_delta_p_verb_cue_type_TAASSC,MLC_TAASSC,CN_C_TAASSC
W_JPN_367.txt,JPN,22,A2_0,1,3.880133824,2.458032306,0.014669927,3.101127451,617.1359113,0.730095847,0.712519084,0.81512605,0.134453782,0.067226891,0.02184234,7.865384615,0.634615385
W_THA_351.txt,THA,37,B1_2,3,4.053637344,2.520442867,0.046153846,2.957107438,614.423278,0.697377049,0.674320988,0.734693878,0.183673469,0.081632653,0.020823748,6.232876712,0.643835616
W_SIN_005.txt,SIN,47,B2_0,4,3.569931298,2.213964721,0.046783626,2.992091255,628.8658366,0.775452539,0.754926829,1.220779221,0.233766234,0.207792208,0.036749942,10.26,1.26
W_THA_345.txt,THA,39,B1_2,3,3.787377419,2.495765511,0.052631579,3.112874494,613.1357724,0.736238806,0.696623377,0.913385827,0.196850394,0.181102362,0.021618554,10.45,1.4
W_THA_190.txt,THA,17,A2_0,1,4.03310241,2.562327495,0.04137931,3.189372549,605.4838618,0.733908046,0.687848101,0.906976744,0.131782946,0.131782946,0.016682611,7.631578947,0.842105263
W_JPN_171.txt,JPN,20,B1_1,2,3.919089641,2.504610012,0.011037528,3.104901961,613.3042339,0.738166189,0.722345679,0.736486486,0.094594595,0.108108108,0.017437953,7.55,0.65
W_THA_147.txt,THA,12,A2_0,1,3.759659567,2.420402823,0.016771488,3.187240143,624.1456985,0.713028846,0.733152174,0.5,0,0,0.00987068,8.368421053,1.052631579
W_THA_145.txt,THA,32,B1_1,2,3.866584082,2.437585454,0.042735043,3.107642276,614.3045902,0.750510204,0.691882353,0.787671233,0.150684932,0.095890411,0.034820915,9.176470588,1.098039216
W_JPN_173.txt,JPN,23,B1_1,2,3.751188412,2.325361461,0.027906977,3.068,620.587931,0.745846154,0.728974359,0.679389313,0.122137405,0.091603053,0.020054862,6.142857143,0.6
W_THA_179.txt,THA,15,A2_0,1,3.918121739,2.545730596,0.024038462,3.167276265,610.7459036,0.76169279,0.76137931,0.819047619,0.104761905,0.066666667,0.015597091,9.674418605,0.953488372
W_JPN_167.txt,JPN,26,A2_0,1,3.799697034,2.490459024,0.020689655,3.169916667,616.0448498,0.755348837,0.748219178,0.695035461,0.085106383,0.127659574,0.026856357,7.25,0.75
W_CHN_035.txt,CHN,29,B1_1,2,3.771794298,2.403510736,0.032119914,2.937336245,623.8801762,0.76505102,0.829299363,0.881944444,0.194444444,0.097222222,0.0235046,9.530612245,0.979591837
W_HKG_061.txt,HKG,44,B2_0,4,3.451268534,2.307504187,0.087557604,2.828205128,636.1462555,0.790773481,0.851842105,1.18487395,0.277310924,0.176470588,0.028412858,10.35714286,1.333333333
W_THA_353.txt,THA,40,B1_2,3,3.888048214,2.500414075,0.030837004,2.975638767,615.4463063,0.675434783,0.738646617,1.007462687,0.119402985,0.119402985,0.027826362,12.27027027,1.432432432
W_JPN_239.txt,JPN,21,A2_0,1,3.711169196,2.450642107,0.042986425,3.205,620.3442466,0.7552,0.718686131,0.728571429,0.107142857,0.135714286,0.012902523,7.491525424,0.796610169
W_KOR_088.txt,KOR,26,A2_0,1,3.816498837,2.375040943,0.061702128,3.339269231,629.1759922,0.717855228,0.683821656,0.969465649,0.13740458,0.13740458,0.021178462,9.057692308,1.057692308
W_TWN_098.txt,TWN,40,B1_2,3,3.999971591,2.632503642,0.036093418,2.9525,614.7978788,0.739116883,0.738628571,1,0.151724138,0.103448276,0.025153381,8.563636364,0.981818182
W_IDN_008.txt,IDN,38,A2_0,1,3.788342146,2.42785325,0.03992016,3.192423077,613.0880309,0.726009615,0.725555556,1.045454545,0.12987013,0.123376623,0.024002824,10.02,1.04
W_TWN_067.txt,TWN,22,A2_0,1,4.105742584,2.494977363,0.021428571,3.245507246,602.7120673,0.720060241,0.673943662,1.046875,0.171875,0.09375,0.022776147,8.791666667,0.9375
W_KOR_077.txt,KOR,47,B1_1,2,3.676861875,2.281105439,0.060491493,3.104285714,625.2537618,0.741612903,0.718823529,0.83125,0.30625,0.1125,0.027836042,8.015151515,1.242424242
W_THA_025.txt,THA,30,B1_1,2,4.056573932,2.611435994,0.02739726,2.912948718,615.5447863,0.753714286,0.736778523,0.741496599,0.129251701,0.142857143,0.017520165,8.264150943,0.773584906
W_THA_031.txt,THA,40,B1_2,3,4.058180247,2.617856548,0.028824834,3.063153527,606.212161,0.676686047,0.654825175,0.834532374,0.079136691,0.115107914,0.018540229,7.644067797,0.542372881
W_CHN_155.txt,CHN,33,B1_1,2,3.955763359,2.517942285,0.025291829,2.926221374,616.4884411,0.740651163,0.815164835,1.032894737,0.190789474,0.171052632,0.024008154,9.178571429,0.982142857
W_KOR_274.txt,KOR,43,B2_0,4,3.765410033,2.523067619,0.037234043,3.065065359,619.0197659,0.737721519,0.668571429,1.066666667,0.242424242,0.115151515,0.021552532,8.952380952,1.015873016
W_CHN_140.txt,CHN,21,A2_0,1,3.761426446,2.434518796,0.041860465,3.006378601,616.7485477,0.800508475,0.783550296,0.953488372,0.23255814,0.108527132,0.037637622,9.14893617,1.063829787
W_KOR_062.txt,KOR,41,A2_0,1,4.014828906,2.541271178,0.027027027,2.949683794,611.5605859,0.676923077,0.675068493,0.823076923,0.1,0.084615385,0.027888744,7.073529412,0.720588235
W_SIN_172.txt,SIN,45,B1_2,3,3.590904167,2.322502327,0.043396226,2.996882129,625.1450385,0.755879828,0.764020101,1.006410256,0.205128205,0.128205128,0.02368304,8.548387097,0.983870968
W_KOR_089.txt,KOR,27,A2_0,1,3.717174576,2.377277678,0.023866348,3.149830508,621.5462979,0.726548673,0.736644295,0.861111111,0.231481481,0.111111111,0.031113791,8.38,0.94
W_TWN_106.txt,TWN,33,B1_2,3,4.00569823,2.559434751,0.026373626,2.821453744,609.8471681,0.73015625,0.712933333,0.852112676,0.112676056,0.112676056,0.023752231,8.921568627,1
W_IDN_182.txt,IDN,45,A2_0,1,3.608124151,2.357508939,0.060810811,3.357490494,623.9077273,0.736198347,0.750057803,1.042553191,0.184397163,0.205673759,0.026901193,9.652173913,1.326086957
W_JPN_358.txt,JPN,31,A2_0,1,3.766359583,2.379544528,0.030905077,3.172323651,615.7003404,0.770502793,0.739141104,0.951724138,0.227586207,0.165517241,0.030641644,8.711538462,1.25
W_CHN_034.txt,CHN,34,B1_1,2,3.691829075,2.386533924,0.043165468,2.941327434,624.8477679,0.794047619,0.850724638,0.923076923,0.2,0.115384615,0.027483252,8.6875,0.9375
W_CHN_020.txt,CHN,25,B1_1,2,3.859130093,2.470304674,0.037296037,2.99337963,613.2194884,0.753370787,0.796965517,0.961832061,0.20610687,0.122137405,0.019108086,9.127659574,1.063829787
W_JPN_172.txt,JPN,26,B1_1,2,3.955775969,2.607818164,0.008213552,3.16090566,611.0713889,0.71205,0.735505618,0.805031447,0.094339623,0.113207547,0.027585423,8.116666667,0.966666667
W_CHN_018.txt,CHN,39,B1_2,3,3.923072603,2.51365681,0.035897436,3.063394495,618.6492958,0.669865772,0.692121212,0.842519685,0.11023622,0.141732283,0.029330329,8.666666667,0.977777778
W_THA_140.txt,THA,20,A2_0,1,3.785670833,2.476720061,0.033653846,2.97593361,619.312,0.785337423,0.800425532,0.976,0.12,0.12,0.018015374,10.66666667,1.025641026
W_THA_183.txt,THA,23,A2_0,1,4.293624701,2.749706298,0.029268293,2.880156863,601.15848,0.668271605,0.625103448,0.762295082,0.147540984,0.090163934,0.015063902,7.321428571,0.607142857
W_JPN_374.txt,JPN,30,B1_1,2,3.916369257,2.506045111,0.015734266,2.9527,614.3323986,0.752175732,0.702341463,0.806060606,0.175757576,0.103030303,0.033396954,7.526315789,0.710526316
W_CHN_232.txt,CHN,38,B1_1,2,3.667377288,2.366830841,0.049115914,2.980733333,624.4668601,0.766761905,0.756571429,1.013245033,0.264900662,0.132450331,0.02729476,9.980392157,1.274509804
W_JPN_348.txt,JPN,25,B1_1,2,3.7655364,2.433783342,0.030588235,3.488031496,613.6663052,0.715549133,0.63775,0.819548872,0.15037594,0.097744361,0.013297533,8.52,1
W_SIN_002.txt,SIN,44,B1_2,3,3.404973188,2.230397337,0.085889571,2.903455882,639.4604015,0.785227818,0.828602151,0.887417219,0.21192053,0.152317881,0.025750904,9.403846154,1
W_THA_342.txt,THA,42,A2_0,1,3.615536364,2.335058876,0.061135371,2.927419355,631.0935628,0.784141689,0.856578947,1.131386861,0.233576642,0.182481752,0.03373507,11.17073171,1.487804878
W_TWN_102.txt,TWN,45,B1_1,2,4.000206912,2.603158114,0.011764706,3.056768559,613.512757,0.789728097,0.759398496,0.702898551,0.123188406,0.065217391,0.015880926,6.202898551,0.652173913
W_JPN_200.txt,JPN,25,B1_1,2,3.962472692,2.602053847,0.031128405,2.931910112,607.5839216,0.769746193,0.784431138,0.804878049,0.12804878,0.12195122,0.018526834,8,0.953125
W_JPN_214.txt,JPN,23,A2_0,1,3.740239594,2.421029388,0.023640662,3.104536585,610.0445641,0.751038576,0.755,0.872340426,0.09929078,0.170212766,0.018349473,8.632653061,0.857142857
W_THA_222.txt,THA,15,A2_0,1,3.962371364,2.491337701,0.023923445,3.014162896,618.6141364,0.736559767,0.732447552,0.873239437,0.126760563,0.161971831,0.021863911,9.311111111,0.822222222
W_SIN_162.txt,SIN,46,B1_2,3,3.402349827,2.222051508,0.053264605,3.077412587,625.7393357,0.774233129,0.847962963,1.076470588,0.229411765,0.2,0.033343305,11.35294118,1.509803922
W_JPN_228.txt,JPN,20,A2_0,1,3.791458996,2.400701043,0.019277108,3.178969957,601.3173391,0.672592593,0.654383562,0.755905512,0.149606299,0.039370079,0.023110991,9.222222222,0.755555556
W_JPN_002.txt,JPN,33,B1_2,3,4.032680296,2.606715563,0.024193548,3.210666667,602.6566502,0.624761905,0.545890411,0.892857143,0.160714286,0.0625,0.03167276,7.914893617,0.765957447
W_CHN_144.txt,CHN,32,B1_1,2,4.002211877,2.582747059,0.037475345,2.851877395,621.9248077,0.748240741,0.762988506,0.777142857,0.142857143,0.125714286,0.035966134,6.671052632,0.789473684
W_JPN_016.txt,JPN,34,B1_2,3,3.95834574,2.452605739,0.034313725,2.900542986,615.5929596,0.718215385,0.690993377,0.821138211,0.203252033,0.048780488,0.025192656,7.285714286,0.714285714
W_THA_034.txt,THA,40,B1_2,3,3.853739063,2.468032592,0.030634573,3.080996169,619.5778175,0.710246575,0.695308642,0.710344828,0.103448276,0.096551724,0.024178352,6.909090909,0.727272727
W_CHN_187.txt,CHN,35,B1_1,2,3.689446383,2.345897899,0.044491525,3.08185654,622.448319,0.757959184,0.735287356,0.979865772,0.181208054,0.154362416,0.029312635,8.428571429,1.160714286
W_KOR_259.txt,KOR,44,B2_0,4,3.818145122,2.448329041,0.054216867,2.974979424,618.0961633,0.797113924,0.773253012,0.72972973,0.135135135,0.114864865,0.013649377,8.3,1
