filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,hdd42_aw_TAALED,mtld_original_aw
W_HKG_061.txt,HKG,44,B2_0,4,3.451268534,2.307504187,0.087557604,2.828205128,636.1462555,0.790773481,0.833524224,78.62778473
W_THA_353.txt,THA,40,B1_2,3,3.888048214,2.500414075,0.030837004,2.975638767,615.4463063,0.675434783,0.734739343,39.78223765
W_JPN_239.txt,JPN,21,A2_0,1,3.711169196,2.450642107,0.042986425,3.205,620.3442466,0.7552,0.827521667,59.48677566
W_KOR_088.txt,KOR,26,A2_0,1,3.816498837,2.375040943,0.061702128,3.339269231,629.1759922,0.717855228,0.805006312,54.46253549
W_TWN_098.txt,TWN,40,B1_2,3,3.999971591,2.632503642,0.036093418,2.9525,614.7978788,0.739116883,0.800232147,53.66329521
W_IDN_008.txt,IDN,38,A2_0,1,3.788342146,2.42785325,0.03992016,3.192423077,613.0880309,0.726009615,0.806233871,46.82484351
W_TWN_067.txt,TWN,22,A2_0,1,4.105742584,2.494977363,0.021428571,3.245507246,602.7120673,0.720060241,0.792606416,44.81814284
W_KOR_077.txt,KOR,47,B1_1,2,3.676861875,2.281105439,0.060491493,3.104285714,625.2537618,0.741612903,0.824217285,64.93577678
W_THA_025.txt,THA,30,B1_1,2,4.056573932,2.611435994,0.02739726,2.912948718,615.5447863,0.753714286,0.814189401,57.93420514
W_THA_031.txt,THA,40,B1_2,3,4.058180247,2.617856548,0.028824834,3.063153527,606.212161,0.676686047,0.799005516,41.85673077
W_CHN_155.txt,CHN,33,B1_1,2,3.955763359,2.517942285,0.025291829,2.926221374,616.4884411,0.740651163,0.809315838,56.05025978
W_KOR_274.txt,KOR,43,B2_0,4,3.765410033,2.523067619,0.037234043,3.065065359,619.0197659,0.737721519,0.809360862,52.91163522
W_CHN_140.txt,CHN,21,A2_0,1,3.761426446,2.434518796,0.041860465,3.006378601,616.7485477,0.800508475,0.841705743,80.7907489
W_KOR_062.txt,KOR,41,A2_0,1,4.014828906,2.541271178,0.027027027,2.949683794,611.5605859,0.676923077,0.770072083,43.9973109
W_SIN_172.txt,SIN,45,B1_2,3,3.590904167,2.322502327,0.043396226,2.996882129,625.1450385,0.755879828,0.804229338,61.91096782
W_KOR_089.txt,KOR,27,A2_0,1,3.717174576,2.377277678,0.023866348,3.149830508,621.5462979,0.726548673,0.793329356,48.91550923
W_TWN_106.txt,TWN,33,B1_2,3,4.00569823,2.559434751,0.026373626,2.821453744,609.8471681,0.73015625,0.77769437,50.44726944
W_IDN_182.txt,IDN,45,A2_0,1,3.608124151,2.357508939,0.060810811,3.357490494,623.9077273,0.736198347,0.820256948,54.0332981
W_JPN_358.txt,JPN,31,A2_0,1,3.766359583,2.379544528,0.030905077,3.172323651,615.7003404,0.770502793,0.834760525,64.42857143
W_CHN_034.txt,CHN,34,B1_1,2,3.691829075,2.386533924,0.043165468,2.941327434,624.8477679,0.794047619,0.84421525,79.81574038
W_CHN_020.txt,CHN,25,B1_1,2,3.859130093,2.470304674,0.037296037,2.99337963,613.2194884,0.753370787,0.805128412,63.0405267
W_JPN_172.txt,JPN,26,B1_1,2,3.955775969,2.607818164,0.008213552,3.16090566,611.0713889,0.71205,0.786735872,51.62239735
W_CHN_018.txt,CHN,39,B1_2,3,3.923072603,2.51365681,0.035897436,3.063394495,618.6492958,0.669865772,0.775292186,36.64756098
