filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,hdd42_aw,mtld_original_aw
W_THA_152.txt,435,158,195,102,240,56,0.6455696202531646,0.4482758620689655,0.7800268502750874,43.025109170305676
W_JPN_164.txt,415,138,197,85,218,53,0.6159420289855072,0.4746987951807229,0.7590954414707746,40.33426966292135
W_JPN_170.txt,427,164,201,97,226,67,0.5914634146341463,0.4707259953161593,0.8082413331662088,45.49602807453776
W_CHN_022.txt,416,177,196,117,220,60,0.6610169491525424,0.47115384615384615,0.8123668389353372,64.38095238095238
W_SIN_010.txt,474,211,200,136,274,75,0.6445497630331753,0.4219409282700422,0.8168536134545975,65.68448098663926
W_JPN_366.txt,407,166,190,110,217,56,0.6626506024096386,0.4668304668304668,0.8183285114515648,53.51682638734121
W_THA_378.txt,417,123,213,79,204,44,0.6422764227642277,0.5107913669064749,0.7510840754164742,38.73019992386353
W_JPN_400.txt,489,146,220,79,269,67,0.541095890410959,0.4498977505112474,0.7828639067974055,43.31351502706739
W_THA_393.txt,487,145,228,93,259,52,0.6413793103448275,0.4681724845995893,0.7744129158320192,47.244177611006876
W_THA_230.txt,423,126,211,77,212,49,0.6111111111111112,0.4988179669030733,0.7620197237568839,39.31445865692097
W_JPN_206.txt,429,115,191,74,238,41,0.6434782608695652,0.44522144522144524,0.7105488929915389,33.57620061967467
W_PHL_069.txt,420,154,178,93,242,61,0.6038961038961039,0.4238095238095238,0.7879419198672525,50.42016929705429
W_KOR_074.txt,396,131,221,87,175,44,0.6641221374045801,0.5580808080808081,0.7778966902975327,35.40515532055519
W_THA_032.txt,458,195,201,118,257,77,0.6051282051282051,0.4388646288209607,0.8507450234965838,70.88095238095238
W_THA_026.txt,536,197,250,134,286,63,0.6802030456852792,0.4664179104477612,0.7725308272925269,43.79108805561782
W_CHN_142.txt,398,162,188,101,210,61,0.6234567901234568,0.4723618090452261,0.8185142276995171,69.12108455226543
W_JPN_004.txt,434,168,200,104,234,64,0.6190476190476191,0.4608294930875576,0.8282833445879761,59.585776023085174
W_CHN_157.txt,425,174,214,122,211,52,0.7011494252873564,0.5035294117647059,0.8085221895896355,58.02543337972922
W_CHN_143.txt,475,177,236,118,239,59,0.6666666666666666,0.4968421052631579,0.7897924963199894,49.78228341656329
W_THA_027.txt,449,149,222,100,227,49,0.6711409395973155,0.49443207126948774,0.7854615912048555,48.936810856658184
W_KOR_075.txt,442,195,207,122,235,73,0.6256410256410256,0.4683257918552036,0.8432350218506991,85.35871559633028
W_SIN_165.txt,482,183,243,131,239,52,0.7158469945355191,0.504149377593361,0.810411888866921,56.58226455486252
W_KOR_115.txt,451,192,233,130,218,62,0.6770833333333334,0.516629711751663,0.8470281231774818,79.69223372781065
W_THA_386.txt,422,142,204,95,218,47,0.6690140845070423,0.4834123222748815,0.7770331791260399,43.135361583826736
W_TWN_111.txt,419,157,193,106,226,51,0.6751592356687898,0.4606205250596659,0.7733252787431618,47.39577406353722
W_JPN_367.txt,408,157,179,97,229,60,0.6178343949044586,0.4387254901960784,0.7848306574793376,47.88629189531078
W_THA_351.txt,456,161,219,106,237,55,0.6583850931677019,0.48026315789473684,0.7750504363018682,48.443469357905514
W_SIN_005.txt,524,218,256,151,268,67,0.6926605504587156,0.48854961832061067,0.8287266047723768,67.8190613421161
W_THA_345.txt,419,186,218,122,201,64,0.6559139784946236,0.5202863961813843,0.81750908986047,53.70117505512624
W_THA_190.txt,428,166,210,104,218,62,0.6265060240963856,0.49065420560747663,0.8072353444427864,57.610365969640895
W_JPN_171.txt,443,178,217,118,226,60,0.6629213483146067,0.4898419864559819,0.8179939228718748,57.39173676201431
W_THA_147.txt,465,179,229,127,236,52,0.7094972067039106,0.4924731182795699,0.7766440613352679,44.38636363636364
W_THA_145.txt,473,168,224,105,249,63,0.625,0.47357293868921774,0.8069495413414884,60.52758569308177
W_JPN_173.txt,431,186,211,122,220,64,0.6559139784946236,0.4895591647331787,0.8196144986593856,56.47082887807869
W_THA_179.txt,405,191,206,126,199,65,0.6596858638743456,0.508641975308642,0.8359946486140762,64.6663497586296
W_JPN_167.txt,430,172,204,108,226,64,0.627906976744186,0.4744186046511628,0.8226535113330274,67.21863621317445
W_CHN_035.txt,468,200,210,137,258,63,0.685,0.44871794871794873,0.8066400975357311,63.86169459523247
W_HKG_061.txt,432,201,207,142,225,59,0.7064676616915423,0.4791666666666667,0.8335242240649848,78.62778473091365
W_THA_353.txt,442,158,185,104,257,54,0.6582278481012658,0.41855203619909503,0.7347393432403965,39.78223765097273
W_JPN_239.txt,436,178,193,107,243,71,0.601123595505618,0.4426605504587156,0.8275216671748099,59.486775656937425
W_KOR_088.txt,459,171,222,114,237,57,0.6666666666666666,0.48366013071895425,0.8050063121492854,54.462535485324
W_TWN_098.txt,469,186,231,122,238,64,0.6559139784946236,0.4925373134328358,0.8002321469620155,53.66329521389903
W_IDN_008.txt,494,199,237,132,257,67,0.6633165829145728,0.4797570850202429,0.8062338712140833,46.82484351034283
W_TWN_067.txt,409,146,195,87,214,59,0.5958904109589042,0.4767726161369193,0.7926064158359679,44.818142839642285
W_KOR_077.txt,541,215,328,158,213,57,0.7348837209302326,0.6062846580406654,0.8242172852831899,64.93577677624603
W_THA_025.txt,435,171,205,113,230,58,0.6608187134502924,0.47126436781609193,0.8141894007434762,57.934205137955495
W_THA_031.txt,431,161,202,105,229,56,0.6521739130434783,0.46867749419953597,0.7990055160726817,41.85673076923077
